   0.3271947     0.944957    0.3333333    0.3271947
     1.23674     1.571774    0.6666667      1.23674
    2.524413     1.620907            1     2.524413
    3.887752    0.9409502     1.333333     3.887752
     4.97704   -0.4786175     1.666667      4.97704
    5.455784    -2.496881            2     5.455784
    5.061602    -4.835307     2.333333     5.061602
     3.65818    -7.114613     2.666667      3.65818
     1.27008    -8.909932            3      1.27008
   -1.905679     -9.81674     3.333333    -1.905679
   -5.514048    -9.518155     3.666667    -5.514048
    -9.08163    -7.843723            4     -9.08163
   -12.07719    -4.810561     4.333333    -12.07719
   -13.98537   -0.6398916     4.666667    -13.98537
   -14.38386     4.254933            5    -14.38386
   -13.01327     9.308858     5.333333    -13.01327
   -9.829372     13.87024     5.666667    -9.829372
   -5.029479     17.28307            6    -5.029479
   0.9524162     18.97611     6.333333    0.9524162
    7.483022     18.54736     6.666667     7.483022
    13.79672     15.83195            7     13.79672
    19.08493     10.94374     7.333333     19.08493
    22.59768     4.283098     7.666667     22.59768
     23.7446    -3.492001            8      23.7446
    22.18236    -11.53009     8.333333     22.18236
    17.87633    -18.87954     8.666667     17.87633
     11.1272    -24.60052            9      11.1272
    2.556891    -27.88301     9.333333     2.556891
   -6.946575    -28.15573     9.666667    -6.946575
   -16.32063    -25.17215           10    -16.32063
    -24.4471    -19.06146     10.33333     -24.4471
   -30.28467    -10.33629     10.66667    -30.28467
   -32.99968     0.146048           11    -32.99968
   -32.07899     11.26669     11.33333    -32.07899
   -27.40999     21.76447     11.66667    -27.40999
   -19.31663     30.37874           12    -19.31663
    -8.54456     35.99987     12.33333     -8.54456
    3.804875     37.80903     12.66667     3.804875
    16.38651     35.39043           13     16.38651
    27.75805     28.80088     13.33333     27.75805
    36.54501     18.58661     13.66667     36.54501
    41.60551     5.742963           14     41.60551
     42.1753    -8.381146     14.33333      42.1753
    37.97463    -22.22448     14.66667     37.97463
    29.26295    -34.18596           15     29.26295
    16.83271    -42.80958     15.33333     16.83271
    1.940374    -46.95993     15.66667     1.940374
   -13.81936    -45.96766           16    -13.81936
   -28.68449    -39.72656     16.33333    -28.68449

